"","VanID","mail.itt","phone.itt","lit.itt","text.itt","precinct","zone","group","mail.pp","phone.pp","lit.pp","text.pp","applied","mail.apply","phone.apply","lit.apply","text.apply","voted","mail.voted","phone.voted","lit.voted","text.voted","age","sex"
"3530",4955194,"Y","N","N","N","New London",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3531",4955239,"N","Y","Y","N","W Nottingham",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3532",4955241,"N","Y","N","N","East Nottingham East",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3533",4955270,"N","N","N","Y","Thornbury 1",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3534",4956486,"N","Y","N","N","Birmingham 2",6,2,"N","Y","N","N","N","N","N","N","N","polls","N","N","N","N",43,"F"
"3535",4957258,"N","Y","Y","N","West Grove 2",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3536",4960230,"Y","N","N","N","Penn",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3537",4960495,"N","N","Y","Y","Westtown 2",6,10,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3538",4960662,"N","Y","Y","N","Thornbury 2",6,8,"N","Y","Y","N","N","N","N","N","N","polls","N","N","N","N",76,"M"
"3539",4960669,"Y","N","N","N","Westtown 2",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3540",4960671,"N","N","Y","N","Birmingham 1",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3541",4960715,"N","N","N","Y","New London",3,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3542",4960722,"N","N","Y","N","London Grove S",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3543",4961235,"N","N","N","Y","Elk",3,4,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",58,"M"
"3544",4961368,"N","N","Y","N","Penn",3,3,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3545",4961850,"N","N","Y","Y","Westtown 3",6,10,"N","N","N","N","B","X","X","X","X","mail","X","X","X","X",67,"F"
"3546",4961859,"Y","Y","N","N","Highland",3,5,"Y","Y","N","N","B","X","X","X","X","mail","X","X","X","X",63,"F"
"3547",4962008,"Y","Y","N","N","London Grove S",3,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3548",4962034,"N","Y","N","Y","Franklin",3,9,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",61,"M"
"3549",4962666,"Y","N","N","N","Birmingham 2",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3550",4964769,"N","N","N","Y","London Grove S",3,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3551",4969056,"N","N","Y","N","Franklin",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3552",4969113,"Y","N","Y","N","Oxford E",3,6,"Y","N","Y","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3553",4969140,"Y","Y","N","N","Westtown 4",6,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3554",4969434,"Y","N","N","N","New London",3,1,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3555",4969438,"Y","N","Y","N","W Nottingham",3,6,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3556",4969522,"N","N","N","Y","Thornbury 2",6,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3557",4969530,"N","Y","N","N","Westtown 2",6,2,"N","Y","N","N","B","X","X","X","X","mail","X","X","X","X",75,"M"
"3558",4969567,"N","N","N","Y","Westtown 1",6,4,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3559",4969594,"N","N","Y","N","Birmingham 1",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3560",4969611,"Y","N","N","N","West Grove 2",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3561",4970530,"N","Y","N","Y","London Grove Ch",3,9,"N","Y","N","N","N","N","N","N","N","polls","N","N","N","N",62,"F"
"3562",4972341,"N","N","N","Y","New London",3,4,"N","N","N","Y","N","N","N","N","N","N","N","N","N","N",35,"F"
"3563",4973047,"N","Y","N","Y","Franklin",3,9,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",56,"M"
"3564",4973422,"N","Y","Y","N","Elk",3,8,"N","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3565",4973702,"N","N","Y","N","Franklin",3,3,"N","N","N","N","B","X","X","X","X","mail","X","X","X","X",46,"F"
"3566",4974134,"Y","Y","N","N","Westtown 4",6,5,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3567",4974156,"Y","N","N","N","Westtown 3",6,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3568",4974166,"N","N","Y","N","London Grove Ch",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3569",4974169,"N","Y","Y","N","Upper Oxford",3,8,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3570",4975341,"N","N","Y","Y","W Nottingham",3,10,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3571",4975345,"Y","Y","N","N","New London",3,5,"Y","Y","N","N","A","X","Y","X","Y","mail","X","Y","X","Y",76,"F"
"3572",4975348,"N","Y","N","N","West Grove 2",3,2,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3573",4975786,"Y","N","N","Y","Birmingham 2",6,7,"Y","N","N","N","N","N","N","N","N","polls","N","N","N","N",NA,NA
"3574",4978380,"N","N","N","Y","East Nottingham East",3,4,"N","N","N","Y","N","N","N","N","N","polls","N","N","N","N",53,"M"
"3575",4982750,"N","N","N","Y","London Britain",3,4,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3576",4984337,"Y","N","N","N","London Grove S",3,1,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3577",4985329,"N","N","Y","N","East Nottingham East",3,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3578",4985532,"N","N","Y","N","Thornbury 2",6,3,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N",NA,NA
"3579",4985631,"N","N","Y","N","Franklin",3,3,"N","N","N","N","N","N","N","N","N","N","N","N","N","N",NA,NA
